Date,Open,High,Low,Close,Adj. Close,Change,Volume
2010-08-04,1.46300,1.47900,1.39000,1.41700,1.41700,-3.14%,13695000
2010-08-05,1.43600,1.43700,1.33700,1.36300,1.36300,-3.81%,11943000
2010-08-06,1.34000,1.34400,1.30100,1.30600,1.30600,-4.18%,11128500
2010-08-09,1.32700,1.33200,1.29700,1.30700,1.30700,0.08%,12190500
2010-08-10,1.31000,1.31000,1.25500,1.26900,1.26900,-2.91%,19219500
2010-08-11,1.24600,1.25900,1.19000,1.19300,1.19300,-5.99%,11964000
2010-08-12,1.18700,1.19300,1.15900,1.17300,1.17300,-1.68%,10365000
2010-08-13,1.21200,1.23000,1.17700,1.22100,1.22100,4.09%,9510000
2010-08-16,1.23000,1.25300,1.21700,1.25200,1.25200,2.54%,7287000
2010-08-17,1.26400,1.29300,1.25200,1.27700,1.27700,2.00%,6718500
2010-08-18,1.30600,1.30600,1.24000,1.25100,1.25100,-2.04%,9019500
2010-08-19,1.23600,1.28300,1.22200,1.25300,1.25300,0.16%,8686500
2010-08-20,1.24300,1.27400,1.23400,1.27300,1.27300,1.60%,4440000
2010-08-23,1.27300,1.35900,1.26700,1.34200,1.34200,5.42%,16321500
2010-08-24,1.28300,1.31400,1.26300,1.28000,1.28000,-4.62%,10096500
2010-08-25,1.27700,1.33200,1.23700,1.32700,1.32700,3.67%,7549500
2010-08-26,1.32600,1.35100,1.30700,1.31700,1.31700,-0.75%,6507000
2010-08-27,1.31700,1.32400,1.30000,1.31300,1.31300,-0.30%,5694000
2010-08-30,1.31300,1.34600,1.30700,1.32500,1.32500,0.91%,10992000
2010-08-31,1.31100,1.31900,1.28900,1.29900,1.29900,-1.96%,3016500
2010-09-01,1.30800,1.37900,1.30700,1.36300,1.36300,4.93%,7423500
2010-09-02,1.35800,1.41600,1.35400,1.40400,1.40400,3.01%,7306500
2010-09-03,1.39100,1.42000,1.37700,1.40300,1.40300,-0.07%,6519000
2010-09-07,1.37400,1.40000,1.36700,1.36900,1.36900,-2.42%,3651000
2010-09-08,1.37700,1.39700,1.37300,1.39300,1.39300,1.75%,4326000
2010-09-09,1.40000,1.40300,1.37900,1.38100,1.38100,-0.86%,5643000
2010-09-10,1.38300,1.39500,1.31700,1.34500,1.34500,-2.61%,5799000
2010-09-13,1.39300,1.39300,1.36700,1.38100,1.38100,2.68%,5412000
2010-09-14,1.36900,1.44000,1.36900,1.40800,1.40800,1.96%,9820500
2010-09-15,1.39900,1.46700,1.38600,1.46500,1.46500,4.05%,10269000
2010-09-16,1.47700,1.54400,1.38900,1.39600,1.39600,-4.71%,40267500
2010-09-17,1.40100,1.42100,1.32000,1.34900,1.34900,-3.37%,17977500
2010-09-20,1.37800,1.42300,1.34400,1.40400,1.40400,4.08%,14212500
2010-09-21,1.39300,1.43700,1.37800,1.38500,1.38500,-1.35%,11940000
2010-09-22,1.39100,1.39700,1.32000,1.32500,1.32500,-4.33%,14443500
2010-09-23,1.32600,1.34300,1.30000,1.30400,1.30400,-1.58%,10021500
2010-09-24,1.33000,1.34600,1.31000,1.34000,1.34000,2.76%,8683500
2010-09-27,1.36000,1.38700,1.33700,1.36900,1.36900,2.16%,6279000
2010-09-28,1.40300,1.43300,1.38400,1.42700,1.42700,4.24%,18217500
2010-09-29,1.41300,1.46900,1.40900,1.46500,1.46500,2.66%,29539500
2010-09-30,1.46700,1.47700,1.34600,1.36000,1.36000,-7.17%,32937000
2010-10-01,1.37900,1.38300,1.35400,1.37300,1.37300,0.96%,8965500
