Date,Open,High,Low,Close,Adj. Close,Change,Volume
2010-08-12,13.21000,13.21000,13.21000,13.21000,13.21000,-0.08%,0
2010-08-13,13.24000,13.24000,13.24000,13.24000,13.24000,0.23%,0
2010-08-16,13.16000,13.16000,13.16000,13.16000,13.16000,-0.60%,0
2010-08-17,13.30000,13.30000,13.30000,13.30000,13.30000,1.06%,0
2010-08-18,13.33000,13.33000,13.33000,13.33000,13.33000,0.23%,0
2010-08-19,13.10000,13.10000,13.10000,13.10000,13.10000,-1.73%,0
2010-08-20,13.23000,13.23000,13.23000,13.23000,13.23000,0.99%,0
2010-08-23,13.21000,13.21000,13.21000,13.21000,13.21000,-0.15%,0
2010-08-24,12.99000,12.99000,12.99000,12.99000,12.99000,-1.67%,0
2010-08-25,13.09000,13.09000,13.09000,13.09000,13.09000,0.77%,0
2010-08-26,12.88000,12.88000,12.88000,12.88000,12.88000,-1.60%,0
2010-08-27,13.12000,13.12000,13.12000,13.12000,13.12000,1.86%,0
2010-08-30,12.96000,12.96000,12.96000,12.96000,12.96000,-1.22%,0
2010-08-31,12.94000,12.94000,12.94000,12.94000,12.94000,-0.15%,0
2010-09-01,13.21000,13.21000,13.21000,13.21000,13.21000,2.09%,0
2010-09-02,13.32000,13.32000,13.32000,13.32000,13.32000,0.83%,0
2010-09-03,13.46000,13.46000,13.46000,13.46000,13.46000,1.05%,0
2010-09-06,13.44000,13.44000,13.44000,13.44000,13.44000,-0.15%,0
2010-09-07,13.45000,13.45000,13.45000,13.45000,13.45000,0.07%,0
2010-09-08,13.52000,13.52000,13.52000,13.52000,13.52000,0.52%,0
2010-09-09,13.59000,13.59000,13.59000,13.59000,13.59000,0.52%,0
2010-09-10,13.67000,13.67000,13.67000,13.67000,13.67000,0.59%,0
2010-09-13,13.67000,13.67000,13.67000,13.67000,13.67000,,0
2010-09-14,13.55000,13.55000,13.55000,13.55000,13.55000,-0.88%,0
2010-09-15,13.54000,13.54000,13.54000,13.54000,13.54000,-0.07%,0
2010-09-16,13.46000,13.46000,13.46000,13.46000,13.46000,-0.59%,0
2010-09-17,13.53000,13.53000,13.53000,13.53000,13.53000,0.52%,0
2010-09-20,13.70000,13.70000,13.70000,13.70000,13.70000,1.26%,0
2010-09-21,13.61000,13.61000,13.61000,13.61000,13.61000,-0.66%,0
2010-09-22,13.26000,13.26000,13.26000,13.26000,13.26000,-2.57%,0
2010-09-23,13.23000,13.23000,13.23000,13.23000,13.23000,-0.23%,0
2010-09-24,13.37000,13.37000,13.37000,13.37000,13.37000,1.06%,0
2010-09-27,13.30000,13.30000,13.30000,13.30000,13.30000,-0.52%,0
2010-09-28,13.29000,13.29000,13.29000,13.29000,13.29000,-0.08%,0
2010-09-29,13.20000,13.20000,13.20000,13.20000,13.20000,-0.68%,0
2010-09-30,13.11000,13.11000,13.11000,13.11000,13.11000,-0.68%,0
2010-10-01,13.08000,13.08000,13.08000,13.08000,13.08000,-0.23%,0
2010-10-04,13.04000,13.04000,13.04000,13.04000,13.04000,-0.31%,0
2010-10-05,13.16000,13.16000,13.16000,13.16000,13.16000,0.92%,0
2010-10-06,13.11000,13.11000,13.11000,13.11000,13.11000,-0.38%,0
2010-10-07,13.04000,13.04000,13.04000,13.04000,13.04000,-0.53%,0
2010-10-08,13.12000,13.12000,13.12000,13.12000,13.12000,0.61%,0
2010-10-11,13.16000,13.16000,13.16000,13.16000,13.16000,0.30%,0
2010-10-12,13.27000,13.27000,13.27000,13.27000,13.27000,0.84%,0
2010-10-13,13.24000,13.24000,13.24000,13.24000,13.24000,-0.23%,0
2010-10-14,13.08000,13.08000,13.08000,13.08000,13.08000,-1.21%,0
2010-10-15,13.17000,13.17000,13.17000,13.17000,13.17000,0.69%,0
2010-10-18,13.31000,13.31000,13.31000,13.31000,13.31000,1.06%,0
2010-10-19,13.27000,13.27000,13.27000,13.27000,13.27000,-0.30%,0
2010-10-20,13.24000,13.24000,13.24000,13.24000,13.24000,-0.23%,0
2010-10-21,13.23000,13.23000,13.23000,13.23000,13.23000,-0.08%,0
2010-10-22,13.34000,13.34000,13.34000,13.34000,13.34000,0.83%,0
2010-10-25,13.31000,13.31000,13.31000,13.31000,13.31000,-0.22%,0
2010-10-26,13.42000,13.42000,13.42000,13.42000,13.42000,0.83%,0
2010-10-27,13.47000,13.47000,13.47000,13.47000,13.47000,0.37%,0
2010-10-28,13.37000,13.37000,13.37000,13.37000,13.37000,-0.74%,0
2010-10-29,13.36000,13.36000,13.36000,13.36000,13.36000,-0.07%,0
2010-11-01,13.39000,13.39000,13.39000,13.39000,13.39000,0.22%,0
2010-11-02,13.36000,13.36000,13.36000,13.36000,13.36000,-0.22%,0
